ItemID,Type,FloorPlan,Bed,Bath,SQFT,FloorPlanURL,Apartment,AvailableDate,RentRange,PropertyAddress,PropertyPhone,Website,CommunityAmenities,ApartmentAmenities,Specials
8419,1 Bedroom,PH NO. 3,1,2,"1,012",/dmslivecafe/3/546880/PH No 3.jpg?quality=85?maxheight=245&scale=both&quality=50,4062,6/2/2021,"$2,764-$3,306","7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8420,Studio,FLAT NO. 1,Studio,1,599,/dmslivecafe/3/546880/Flat_No._1.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8421,Studio,FLAT NO. 2,Studio,1,628,/dmslivecafe/3/546880/Flat_No._2.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8422,1 Bedroom,PH NO. 1,1,2,758,/dmslivecafe/3/546880/PH No 1.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8423,1 Bedroom,SINGLE NO. 1,1,1,657,/dmslivecafe/3/546880/Single No 1.jpg?quality=85?maxheight=245&scale=both&quality=50,1034,5/25/2021,"$1,919-$2,352","7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8424,1 Bedroom,SINGLE NO. 10,1,1,821,/dmslivecafe/3/546880/Single No 10.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8425,1 Bedroom,SINGLE NO. 11,1,1,"1,031",/dmslivecafe/3/546880/Single No 11.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8426,1 Bedroom,SINGLE NO. 13,1,1,850,/dmslivecafe/3/546880/Single_No._13.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8427,1 Bedroom,SINGLE NO. 14,1,1,844,/dmslivecafe/3/546880/Single_No._14.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
8428,1 Bedroom,SINGLE NO. 2,1,1,691,/dmslivecafe/3/546880/Single No 2.jpg?quality=85?maxheight=245&scale=both&quality=50,,,,"7025 East Via Soleri Drive, Scottsdale, AZ 85251",844.350.3308,https://broadstonewaterfront.com/,"Dedicated Resident High-Speed Wi-Fi in Common Areas;Exclusive Resident Lounge with Demonstration Kitchen, Pool Table & Coffee Bar;Two-Story Upscale Fitness Facility Complete with Precor® Preva® Equipment, Including:;Keiser® Spin Bike;AMT Motion® Trainer;Indoor Rowing Machine;VLT® Rope Trainer;Medicine Ball Rebounder;Free-Standing Heavy Bag;TRX® Single Mount;Ballet Barre;Laptops, iPads & Wi-Fi Printer Available for Resident Use;Direct Elevator Access to Personal Garage Parking;Climate-Controlled Interior Corridors & Interior Resident Storage Units;Boutique Pool & Spa Area with Deluxe, Poolside Cabanas with Televisions & Fans;High-End Gloster® Furniture;Dual Outdoor Grilling Facilities & Dining Spaces;Lush Landscaping & Water Features;Pet Friendly Community;Prime Location at Scottsdale Waterfront & Adjacent to Fashion Square Mall;Direct Access to Old Town Scottsdale Arts, Dining & Entertainment","Soaring 10-Foot Ceilings & 8-Foot Interior Doors;Personal Balconies & Patios with French Doors*;DuChateau® Hardwood Flooring in Penthouse Homes;High-End Karndean® Plank-Vinyl Flooring Throughout Unit;Interior Staircases in Penthouse Homes*;Crown Molding;GE® Energy Star® Front-Load Washers & GE® Electric Dryers;Pursuing LEED-H Certification;GE Profile™ Series Built-In Gas Cooktops;GE® Stainless-Steel Dishwashers, Counter-Depth Refrigerators, Ovens, Microwaves & Hoods;Avanti® Wine Refrigerators;42-Inch Dark-Wood Cabinets with Contemporary Nickel-Finish Hardware;2-Inch Quartz Countertops;Luxury Tile Backsplashes;Moen® Gooseneck Faucets & Single-Basin Under-Mount Sinks;Pendant Lighting Over Breakfast Bar;Authentic Maple-Shaker Hardwood Cabinet Doors;Garden-Style Soaking Tubs with Tile Surrounds;Tile Showers with Frameless Doors*;Moen® Faucets & Single-Basin Under-Mount Sinks;Spacious Walk-In Closets*;*In Select Apartment Homes",Up To 2 Weeks Free!
