Property name,s3 name,Submarket,Market,Total Number of units,Studio number of units,1 bed number of units,2 bed number of units,3 bed number of units,4 bed number of units,5 bed number of units
7160 Optima Kierland,Optima Kierland,North Paradise Valley,Phoenix,150,0,81,63,6,0,0
Ascend at Kierland,Ascend at Kierland,North Paradise Valley,Phoenix,364,0,130,184,50,0,0
Elite North Scottsdale,Elite North Scottsdale,North Paradise Valley,Phoenix,360,0,142,176,42,0,0
Citrine,Citrine,South Paradise Valley,Phoenix,312,0,191,121,0,0,0
Peak 16,Peak16,South Paradise Valley,Phoenix,233,33,123,77,0,0,0
"Trend at 51, The",The Trend at 51,South Paradise Valley,Phoenix,191,44,144,3,0,0,0
"Turn, The",The Turn,Sunnyslope,Phoenix,166,14,64,72,16,0,0
View 32,View 32,Sunnyslope,Phoenix,135,20,75,40,0,0,0
Cantamar,Cantamar,North Black Canyon,Phoenix,180,0,86,70,24,0,0
Covington Park,Covington Park,North Black Canyon,Phoenix,520,28,170,274,48,0,0
"Grove Deer Valley, The",The Grove Deer Valley,North Black Canyon,Phoenix,208,0,96,104,8,0,0
Villas on Bell,Villas on Bell,North Black Canyon,Phoenix,168,0,24,128,16,0,0
Cielo,Cielo,Metrocenter,Phoenix,360,108,184,68,0,0,0
San Valiente,San Valiente,Metrocenter,Phoenix,604,0,192,332,80,0,0
Artessa,Artessa,Peoria,Phoenix,298,0,124,148,26,0,0
Desert Harbor,Desert Harbor,Peoria,Phoenix,264,0,104,160,0,0,0
Enclave at Arrowhead,Enclave at Arrowhead,Peoria,Phoenix,240,0,96,132,12,0,0
Ocio Plaza Del Rio,Ocio Plaza Del Rio,Peoria,Phoenix,333,0,199,122,12,0,0
Stadium Vue Townhomes,Stadium Vue Townhomes,Peoria,Phoenix,163,0,65,85,13,0,0
Waterford at Peoria,Waterford at Peoria,Peoria,Phoenix,200,0,89,99,12,0,0
Crystal Springs,Crystal Springs Glendale,Glendale,Phoenix,106,0,41,62,3,0,0
Summerly at Zanjero,Summerly at Zanjero,Glendale,Phoenix,344,0,177,149,18,0,0
Villas on Olive,Villas on Olive,Glendale,Phoenix,153,0,52,61,40,0,0
Vue Park West,Vue Park West,Glendale,Phoenix,260,42,84,119,15,0,0
Zone,Zone,Glendale,Phoenix,308,0,116,160,32,0,0
Zone Luxe,Zone Luxe,Glendale,Phoenix,253,6,130,102,15,0,0
1221 Broadway,1221 Broadway,North Tempe,Phoenix,194,42,44,60,48,0,0
Acero at Estrella Commons,Acero at Estrella Commons,Western Suburbs,Phoenix,352,0,172,150,30,0,0
Acero Cooley Station,Acero Cooley Station,Gilbert,Phoenix,182,0,92,90,0,0,0
Adiamo,Adiamo Palm Valley,Western Suburbs,Phoenix,302,0,152,126,24,0,0
Adobe Ridge,Adobe Ridge,Deer Valley,Phoenix,224,0,136,76,12,0,0
Alante at the islands,Alante at the Islands,South Mesa,Phoenix,320,0,96,176,48,0,0
Aldea at Estrella Falls,Aldea at Estrella Falls,Western Suburbs,Phoenix,328,0,168,136,24,0,0
Allure at Tempe,Allure at Tempe,South Tempe,Phoenix,216,0,0,136,66,14,0
Almeria at Ocotillo,Almeria at Ocotillo,Chandler,Phoenix,389,0,155,188,46,0,0
Alta North Central,Alta North Central,Christown,Phoenix,229,0,137,83,9,0,0
Amiya Palm Valley,Amiya Palm Valley,Western Suburbs,Phoenix,188,0,50,132,6,0,0
Arboretum At South Mountain,Arboretum at South Mountain,Mountain Park,Phoenix,312,0,156,132,24,0,0
Arcadia Cove,Arcadia Cove,Central East Phoenix,Phoenix,432,0,204,204,24,0,0
Aria on Cave Creek,Aria on Cave Creek,Union Hills,Phoenix,292,0,136,138,18,0,0
Arrive at Ocotillo,Arrive Ocotillo,Chandler,Phoenix,272,0,76,168,28,0,0
Arrive North Scottsdale,Arrive North Scottsdale,Union Hills,Phoenix,204,0,60,138,6,0,0
Arrowhead Ranch By Baron,Arrowhead Ranch by Baron,Deer Valley,Phoenix,256,0,88,128,40,0,0
Ashton Pointe,Ashton Pointe,Western Suburbs,Phoenix,314,0,110,176,28,0,0
Aspire at Pinnacle Peak,Aspire,Deer Valley,Phoenix,724,0,340,316,68,0,0
Audere,Audere,East Camelback,Phoenix,220,0,94,106,20,0,0
Avana Coronado,Avana Coronado,Chandler,Phoenix,321,0,113,160,48,0,0
Avana Desert View,Avana Desert View,Union Hills,Phoenix,412,0,144,196,72,0,0
Aventura,Aventura,Western Suburbs,Phoenix,408,0,228,168,12,0,0
Bayside,Bayside,Deer Valley,Phoenix,176,0,56,120,0,0,0
Bella Mirage,Bella Mirage,Western Suburbs,Phoenix,715,0,333,293,89,0,0
Bella Victoria,Bella Victoria,Superstition Springs,Phoenix,236,0,0,200,36,0,0
Biltmore at Camelback,Biltmore at Camelback,East Camelback,Phoenix,270,38,125,107,0,0,0
Biscayne Bay,Biscanye Bay,South Mesa,Phoenix,512,0,224,272,16,0,0
Brio on Ray,Brio on Ray,Gilbert,Phoenix,192,0,80,92,20,0,0
Cadia Crossing,Cadia Crossing,Gilbert,Phoenix,256,0,76,156,24,0,0
Cambria,Cambria,South Mesa,Phoenix,174,0,60,84,30,0,0
Camden Chandler,Camden Chandler,Gilbert,Phoenix,380,0,102,216,62,0,0
Camden Old Town Scottsdale,Camden Old Town,South Scottsdale,Phoenix,316,53,121,138,4,0,0
Camden Tempe,Camden Tempe,North Tempe,Phoenix,234,0,97,116,21,0,0
Cantera,Cantera,Chandler,Phoenix,288,0,192,88,8,0,0
Carlyle at South Mountain,Carlyle at South Mountain,Mountain Park,Phoenix,552,0,180,260,112,0,0
Casitas at San Marcos,Casitas at San Marcos,Chandler,Phoenix,256,0,52,111,93,0,0
Circa Central Avenue,Circa Central Avenue,Sky Harbor,Phoenix,227,32,178,17,0,0,0
CIRQ 44,CIRQ 44,Sky Harbor,Phoenix,297,43,172,82,0,0,0
Cityscape At Lakeshore,Cityscape at Lakeshore,South Tempe,Phoenix,214,0,75,103,36,0,0
CityScape Residences,CityScape Residences,Sky Harbor,Phoenix,224,32,125,62,5,0,0
Coldwater Springs,Coldwater Springs,Western Suburbs,Phoenix,301,0,132,135,34,0,0
"Cooper 202, The",The Cooper 202,Gilbert,Phoenix,332,0,156,162,14,0,0
Cornerstone Ranch,Cornerstone Ranch,Chandler,Phoenix,224,0,128,72,24,0,0
Cortland Arrowhead Summit,Cortland Arrowhead Summit,Deer Valley,Phoenix,412,0,232,180,0,0,0
Cortland Mountain Vista,Cortland Mountain Vista,Superstition Springs,Phoenix,384,0,156,204,24,0,0
Craft at Gilbert and Baseline,Craft at Gilbert and Baseline,Superstition Springs,Phoenix,104,0,33,71,0,0,0
Christopher Todd Communities on Camelback,CTC on Camelback,Western Suburbs,Phoenix,167,0,42,125,0,0,0
Del Mar,Del Mar,Western Suburbs,Phoenix,144,0,40,88,16,0,0
Desert Club,Desert Club,Union Hills,Phoenix,497,18,220,211,48,0,0
Desert Horizon,Desert Horizon,North Paradise Valley,Phoenix,514,0,176,270,68,0,0
Desert Mirage,Desert Mirage,South Mesa,Phoenix,258,6,72,144,36,0,0
District at Biltmore,District at Biltmore,East Camelback,Phoenix,227,0,149,78,0,0,0
"District at Chandler, The",District at Chandler,Chandler,Phoenix,340,0,188,152,0,0,0
Dobson 2222,Dobson 2222,Chandler,Phoenix,258,0,110,132,16,0,0
Element Deer Valley,Element Deer Valley,Union Hills,Phoenix,629,79,209,247,58,36,0
Elux at Tramonto,Elux at Tramonto,Deer Valley,Phoenix,138,0,27,67,44,0,0
Envision,Envision,Superstition Springs,Phoenix,248,0,104,128,16,0,0
Estates On Maryland,Estates On Maryland,Christown,Phoenix,330,0,124,179,27,0,0
Esteban Park,Esteban Park,South Phoenix,Phoenix,204,0,24,144,36,0,0
Evolution at Estrella Falls,Evolution at Estrella Falls,Western Suburbs,Phoenix,326,28,158,112,28,0,0
Finisterra,Finisterra,South Tempe,Phoenix,356,0,123,156,77,0,0
Flats at San Tan,Flats at San Tan,Gilbert,Phoenix,319,0,209,110,0,0,0
Galleria Palms,Galleria Palms,South Tempe,Phoenix,424,0,128,248,48,0,0
Gila Springs,Gila Springs,Chandler,Phoenix,224,36,80,108,0,0,0
Green Leaf on Bell,Green Leaf on Bell,Union Hills,Phoenix,306,0,144,126,36,0,0
Hampton East,Hampton East,Superstition Springs,Phoenix,143,0,34,67,42,0,0
Harper,The Harper,South Tempe,Phoenix,367,0,186,169,12,0,0
Heritage at Deer Valley,Heritage at Deer Valley,Deer Valley,Phoenix,832,0,360,356,116,0,0
Highland Groves,Highland Groves,Superstition Springs,Phoenix,228,0,84,120,24,0,0
"Highlands at Spectrum, The",The Highlands at Spectrum,Gilbert,Phoenix,284,24,120,140,0,0,0
Indigo,Indigo,Mountain Park,Phoenix,101,0,18,83,0,0,0
Indigo Springs,Indigo Springs,South Mesa,Phoenix,240,0,90,120,30,0,0
"Ingleside, The",The Ingleside,East Camelback,Phoenix,120,0,36,60,24,0,0
Inspiration at Frank Lloyd Wright,Inspiration,North Scottsdale,Phoenix,200,0,105,83,12,0,0
