Property name,s3 name,Submarket,Market,Total Number of units,Studio number of units,1 bed number of units,2 bed number of units,3 bed number of units,4 bed number of units,5 bed number of units
Arcadia Cove,Arcadia Cove,Central East Phoenix,Phoenix,432,0,204,204,24,0,0
Monterra,Monterra,Central East Phoenix,Phoenix,258,30,117,88,23,0,0
Residences at 4225,Residences at 4225,Central East Phoenix,Phoenix,357,10,197,132,18,0,0
Almeria at Ocotillo,Almeria at Ocotillo,Chandler,Phoenix,389,0,155,188,46,0,0
"Ventura, The",The Ventura,Chandler,Phoenix,272,0,104,144,24,0,0
Vive,Vive,Chandler,Phoenix,194,0,82,100,12,0,0
Alta North Central,Alta North Central,Christown,Phoenix,229,0,137,83,9,0,0
Estates On Maryland,Estates On Maryland,Christown,Phoenix,330,0,124,179,27,0,0
Adobe Ridge,Adobe Ridge,Deer Valley,Phoenix,224,0,136,76,12,0,0
Arrowhead Ranch By Baron,Arrowhead Ranch by Baron,Deer Valley,Phoenix,256,0,88,128,40,0,0
Velaire at Aspera,Velaire at Aspera,Deer Valley,Phoenix,286,0,126,128,32,0,0
Audere,Audere,East Camelback,Phoenix,220,0,94,106,20,0,0
Biltmore at Camelback,Biltmore at Camelback,East Camelback,Phoenix,270,38,125,107,0,0,0
District at Biltmore,District at Biltmore,East Camelback,Phoenix,227,0,149,78,0,0,0
"Ingleside, The",The Ingleside,East Camelback,Phoenix,120,0,36,60,24,0,0
Acero Cooley Station,Acero Cooley Station,Gilbert,Phoenix,182,0,92,90,0,0,0
Watermark at Gateway Place,Watermark at Gateway Place,Gilbert,Phoenix,250,0,100,100,50,0,0
Crystal Springs,Crystal Springs Glendale,Glendale,Phoenix,106,0,41,62,3,0,0
Summerly at Zanjero,Summerly at Zanjero,Glendale,Phoenix,344,0,177,149,18,0,0
Zone Luxe,Zone Luxe,Glendale,Phoenix,253,6,130,102,15,0,0
80 on Gibson,80 on Gibson,Henderson West,Las Vegas,308,0,140,152,16,0,0
