,text,label,
,Unique classes,1,
11,Fully upgraded apartment homes,,
17,Custom built-ins for art and media,,
36,Full-size Whole Foods Market in building,,
71,Grab n' Go Smart Market Bending,,
85,Upgrades Available,,
63,Dazzling 2-story lobby area,AC,
80,Air conditioning,AC,
115,Climate-Controlled Interior Corridors,AC,
146,Individual Heat/AC Controls,AC,
206,Temperature-Controlled Interior Corridors,AC,
241,Premier Biltmore Corridor Location,AC,
271,Air Conditioning,AC,
321,wide interior air-conditioned corridors,AC,
329,Air Conditioned Hallways,AC,
346,Unprecedented location and view corridors within Arcadia,AC,
437,Air conditioned corridors,AC,
688,Air conditioning & ceiling fans,AC,
11,Prewired for intrusion alarm,alarm,
71,Pre-wired for security and stereo systems,alarm,
158,Sonos® Sound System,alarm,
235,Wired for intrusion alarm,alarm,
250,Intrusion alarm,alarm,
275,Intrusion alarm available,alarm,
282,Intrusion alarm with monitoring capabilities,alarm,
482,Upgraded attic insulation,attic,
5,Private maintenance-free backyards,backyard,
35,Ability to have direct package drop off to private backyards,backyard,
44,"Private, Fully-Fenced, Maintenance-Free Backyard",backyard,
55,Private Maintenance-Free Backyards,backyard,
70,"Private, Fenced-in Backyard",backyard,
379,Private yards,backyard,
68,Wet Bar,bar,
27,Indoor basketball court,basketball court,
299,Basketball court and lighted volleyball court,basketball court,
778,Basketball court,basketball court,
1075,On Site Basketball Court for your leisure,basketball court,
1149,"Outdoor, rooftop basketball court",basketball court,
32,Lighted Vanity Mirrors,bathrooms,
81,Heightened Bathroom Vanities with Wood-Framed Mirrors,bathrooms,
86,Backlit mirrors in bathrooms,bathrooms,
197,En-Suite Bathrooms with Dual Vanities,bathrooms,
35,Deep Soaking Tubs with Ceramic Tile Surround,bathtub,
389,Spa/Hot tub,bathtub,
505,Garden style tubs,bathtub,
584,Oversized soaking tubs,bathtub,
634,Bathtubs in two-bedroom luxury homes,bathtub,
651,Oversized oval soaking tubs,bathtub,
768,roman tubs,bathtub,
828,Roman soaking tub in master bath,bathtub,
833,Oversized Soaking Tub,bathtub,
860,Garden bathtub,bathtub,
941,Spa/Hot Tub,bathtub,
942,Bathtubs in two-bedroom homes,bathtub,
1003,Spa/hot tub,bathtub,
1094,Roman tub,bathtub,
307,bicycle repair & storage room,bike repair,
506,Bike Washroom & Work Stand,bike repair,
643,Bike Repair Station,bike repair,
1194,Bicycle Maintenance Shop,bike repair,
281,Bicycle storage,bike storage,
495,Bike parking room with repair station,bike storage,
551,Underground Parking & Bike Storage,bike storage,
811,Bike Racks,bike storage,
1226,Secure Resident Bike Rooms,bike storage,
1253,Bicycle Storage,bike storage,
77,Bluetooth in select units,bluetooth,
810,Outdoor Bocce Ball Court,Bocce court,
24,Integrated Desk and Bookshelf,bookshelves,
46,Built-in bookshelves,bookshelves,
82,Custom bookshelves,bookshelves,
83,Built-in shelves,bookshelves,
95,built-in niches,bookshelves,
9,Shaded poolside cabanas and ramadas,cabana,
23,Take a plunge in either of our two pools featuring plush pool side cabanas,cabana,
33,Outdoor cabanas with poolside kitchen,cabana,
41,Ramadas,cabana,
44,Poolside cabanas with wet bar,cabana,
46,Outdoor cabana with poolside kitchen,cabana,
59,relaxing cabanas,cabana,
65,Private Poolside Cabanas,cabana,
78,poolside kitchen and dining area,cabana,
79,Poolside Cabanas & Fire Pit,cabana,
84,Cabanas,cabana,
96,Pool with Splash Pad,cabana,
98,"Sundeck with Janus et Cie furniture, whirlpool spa, fire pit and multiple gas fired BBQ grills; 80” TV, cabanas with daybeds, couches & outdoor games (bag toss & giant jenga)",cabana,
105,Take a plunge in our pool featuring plush pool side cabanas,cabana,
4,Upgraded kitchen cabinets,cabinet,
5,Modern custom wood cabinetry,cabinet,
16,Custom Cabinetry,cabinet,
17,Contemporary finishes throughout,cabinet,
22,Custom Hartford Espresso Shaker Cabinets,cabinet,
23,Dark Oak cabinetry,cabinet,
24,Cherry-wood Cabinetry,cabinet,
26,Upgraded kitchen cabinetry,cabinet,
27,Custom Kitchen Cabinets with Exposed Shelving,cabinet,
29,Custom cabinetry,cabinet,
34,Cherry-finished cabinetry,cabinet,
37,custom wood cabinetry,cabinet,
43,36-inch cabinets,cabinet,
44,Two-tone designer interior paint,cabinet,
51,Modern cabinetry (select homes),cabinet,
57,Lustrous and stylish cabinetry throughout the apartment,cabinet,
58,Custom cherry-finished cabinetry,cabinet,
62,satin nickel knobs on all kitchen and bathroom cabinetry,cabinet,
63,Natural Oak Cabinetry,cabinet,
63,"Custom, Contemporary Cabinetry",cabinet,
64,Contemporary two-tone cabinetry,cabinet,
66,Stylish cabinetry,cabinet,
66,Espresso Cabinetry with Contemporary Hardware,cabinet,
70,Contemporary Custom Cabinetry,cabinet,
73,Natural oak cabinetry,cabinet,
81,European-Style Cabinets with Brushed Nickel Pulls,cabinet,
82,Modern Cabinetry with Brushed Nickel Pulls,cabinet,
83,Custom Cabinetry & Large Pantry,cabinet,
87,"8"" Wide Custom Cabinet Hardware",cabinet,
95,"Contemporary solid horizontal grain, euro-style, cabinets",cabinet,
100,Modern fixtures,cabinet,
232,Modern Cabinetry,cabinet,
271,Contemporary interior finishes,cabinet,
666,"Cabinet finishes, flooring and hardware will vary on select floor plans.",cabinet,
233,Cable- or satellite-ready,cable ready,
1022,Cable ready,cable ready,
9,Cable TV,cable TV,
27,9-Foot Ceilings,ceilings,
71,9-10' Ceilings,ceilings,
140,Nine-foot ceilings w/ fans in each room,ceilings,
158,Vaulted ceilings,ceilings,
187,Ceiling Fans with Lights in Master Bedroom & Living Room,ceilings,
210,9' ceilings,ceilings,
264,Ceiling Fans,ceilings,
285,Nine-foot ceilings with ceiling fans,ceilings,
334,Loft-style 17 ft ceilings in 4th floor units,ceilings,
349,"nine, ten and eleven foot ceilings",ceilings,
365,10' Ceilings,ceilings,
377,Nine-foot ceilings with fans,ceilings,
380,High Ceilings,ceilings,
384,Nine-foot ceilings,ceilings,
388,Nine foot ceilings,ceilings,
412,9 ft. Ceilings with Fans,ceilings,
415,High ceilings,ceilings,
433,11-12 foot ceilings,ceilings,
458,9’ Ceilings with molding,ceilings,
511,9-foot ceilings,ceilings,
512,Crown molding,ceilings,
515,9-foot ceilings with reversible fans,ceilings,
547,9’ ceilings with molding,ceilings,
572,Spiral Staircases to Open Loft Featuring 18' Ceiling Heights,ceilings,
592,High end ceiling fans with LED lighting,ceilings,
613,9 Ft. Ceilings,ceilings,
615,Cooling ceiling fans in living room and master bedroom,ceilings,
749,Soaring 9-Foot Ceilings,ceilings,
755,High-end ceiling fans with LED lighting,ceilings,
758,9-10 Foot Ceilings,ceilings,
810,High 9- to 12-Foot Ceilings,ceilings,
848,Ceiling fans,ceilings,
874,ceiling fans with 52-inch cherry wood blades,ceilings,
